Article Name,Link,DOI Number,Country,Year,Journal Name,Abstract,Keywords,Article Type
Artificial Intelligence and Machine Learning in Anesthesiology,https://pubmed.ncbi.nlm.nih.gov/30973516/,10.1097/ALN.0000000000002694," Boston, Massachusetts.",2019,Anesthesiology,"Commercial applications of artificial intelligence and machine learning have made remarkable progress recently, particularly in areas such as image recognition, natural speech processing, language translation, textual analysis, and self-learning. Progress had historically languished in these areas, such that these skills had come to seem ineffably bound to intelligence. However, these commercial advances have performed best at single-task applications in which imperfect outputs and occasional frank errors can be tolerated.The practice of anesthesiology is different. It embodies a requirement for high reliability, and a pressured cycle of interpretation, physical action, and response rather than any single cognitive act. This review covers the basics of what is meant by artificial intelligence and machine learning for the practicing anesthesiologist, describing how decision-making behaviors can emerge from simple equations. Relevant clinical questions are introduced to illustrate how machine learning might help solve them-perhaps bringing anesthesiology into an era of machine-assisted discovery.","Review, Algorithms*, Anesthesiology / methods, Anesthesiology / trends*, Artificial Intelligence / trends*, Humans, Machine Learning / trends*",Review
"Artificial Intelligence in Anesthesiology: Current Techniques, Clinical Applications, and Limitations",https://pubmed.ncbi.nlm.nih.gov/31939856/,10.1097/ALN.0000000000002960," Cambridge, Massachusetts (G.R.).",2020,Anesthesiology,"Artificial intelligence has been advancing in fields including anesthesiology. This scoping review of the intersection of artificial intelligence and anesthesia research identified and summarized six themes of applications of artificial intelligence in anesthesiology: (1) depth of anesthesia monitoring, (2) control of anesthesia, (3) event and risk prediction, (4) ultrasound guidance, (5) pain management, and (6) operating room logistics. Based on papers identified in the review, several topics within artificial intelligence were described and summarized: (1) machine learning (including supervised, unsupervised, and reinforcement learning), (2) techniques in artificial intelligence (e.g., classical machine learning, neural networks and deep learning, Bayesian methods), and (3) major applied fields in artificial intelligence.The implications of artificial intelligence for the practicing anesthesiologist are discussed as are its limitations and the role of clinicians in further developing artificial intelligence for use in clinical care. Artificial intelligence has the potential to impact the practice of anesthesiology in aspects ranging from perioperative support to critical care delivery to outpatient pain management.","Review, Anesthesiology / methods*, Anesthesiology / trends, Artificial Intelligence* / trends, Deep Learning / trends, Humans, Machine Learning / trends, Monitoring, Intraoperative / methods*, Monitoring, Intraoperative / trends, Neural Networks, Computer",Review
Artificial intelligence and telemedicine in anesthesia: potential and problems,https://pubmed.ncbi.nlm.nih.gov/35164492/,10.23736/S0375-9393.21.16241-8," Parma, Italy.",2022,Minerva Anestesiol,"The application of novel technologies like artificial intelligence (AI), machine learning (ML) and telemedicine in anesthesiology could play a role in transforming the future of health care. In the present review we discuss the current applications of AI and telemedicine in anesthesiology and perioperative care, exploring their potential influence and the possible hurdles. AI technologies have the potential to deeply impact all phases of perioperative care from accurate risk prediction to operating room organization, leading to increased cost-effective care quality and better outcomes. Telemedicine is reported as a successful mean within the anesthetic pathway, including preoperative evaluation, remote patient monitoring, and postoperative care. The utilization of AI and telemedicine is promising encouraging results in perioperative management, nevertheless several hurdles remain to be overcome before these tools could be integrated in our daily practice. AI models and telemedicine can significantly influence all phases of perioperative care, helping physicians in the development of precision medicine.","Review, Research Support, Non-U.S. Gov't, Anesthesia*, Anesthesiology*, Artificial Intelligence, Humans, Machine Learning, Telemedicine*",Review
Artificial intelligence and its clinical application in Anesthesiology: a systematic review,https://pubmed.ncbi.nlm.nih.gov/37864754/,10.1007/s10877-023-01088-0,N/A,2023,J Clin Monit Comput,"Purpose:
        
      
      Application of artificial intelligence (AI) in medicine is quickly expanding. Despite the amount of evidence and promising results, a thorough overview of the current state of AI in clinical practice of anesthesiology is needed. Therefore, our study aims to systematically review the application of AI in this context.",Review,Review
"Artificial Intelligence in Anesthesiology: Hype, Hope, and Hurdles",https://pubmed.ncbi.nlm.nih.gov/32287116/,10.1213/ANE.0000000000004751,N/A,2020,Anesth Analg,N/A,"Editorial, Anesthesiology / methods, Anesthesiology / trends*, Artificial Intelligence / trends*, Hope*, Humans, Perioperative Care / methods, Perioperative Care / trends",Editorial
Artificial intelligence and anesthesia: a narrative review,https://pubmed.ncbi.nlm.nih.gov/35928743/,10.21037/atm-21-7031," Parma, Italy.",2022,Ann Transl Med,"Background and objective:
        
      
      The aim of this narrative review is to analyze whether or not artificial intelligence (AI) and its subsets are implemented in current clinical anesthetic practice, and to describe the current state of the research in the field. AI is a general term which refers to all the techniques that enable computers to mimic human intelligence. AI is based on algorithms that gives machines the ability to reason and perform functions such as problem-solving, object and word recognition, inference of world states, and decision-making. It includes machine learning (ML) and deep learning (DL).",Review,Review
"Artificial intelligence and ""the Art of Kintsugi"" in Anesthesiology: ten influential papers for clinical users",https://pubmed.ncbi.nlm.nih.gov/37194240/,10.23736/S0375-9393.23.17279-8," Parma, Italy.",2023,Minerva Anestesiol,"Artificial intelligence refers to the simulation of human intelligence in machines that are programmed to think like humans and mimic their actions. In the present review we chose ten influential papers from the last five years and through Kintsugi, shed the light on recent evolution of artificial intelligence in anesthesiology. A comprehensive search in in Medline, Embase, Web of Science and Scopus databases was conducted. Each author searched the databases independently and created a list of six articles that influenced their clinical practice during this period, with a focus on their area of competence. During a subsequent step, each researcher presented his own list and most cited papers were selected to create the final collection of ten articles. In recent years purely methodological works with a cryptic technology (black-box) represented by the intact and static vessel, translated to a ""modern artificial intelligence"" in clinical practice and comprehensibility (glass-box). The purposes of this review are to explore the ten most cited papers about artificial intelligence in anesthesiology and to understand how and when it should be integrated in clinical practice.","Review, Anesthesiology*, Artificial Intelligence*, Humans",Review
"Anesthesiology, automation, and artificial intelligence",https://pubmed.ncbi.nlm.nih.gov/29686578/,10.1080/08998280.2017.1391036," Dallas, Texas.",2017,Proc (Bayl Univ Med Cent),"There have been many attempts to incorporate automation into the practice of anesthesiology, though none have been successful. Fundamentally, these failures are due to the underlying complexity of anesthesia practice and the inability of rule-based feedback loops to fully master it. Recent innovations in artificial intelligence, especially machine learning, may usher in a new era of automation across many industries, including anesthesiology. It would be wise to consider the implications of such potential changes before they have been fully realized.",,N/A
"Artificial intelligence, machine learning and the pediatric airway",https://pubmed.ncbi.nlm.nih.gov/31845543/,10.1111/pan.13792," ON, Canada.",2020,Paediatr Anaesth,"Artificial intelligence and machine learning are rapidly expanding fields with increasing relevance in anesthesia and, in particular, airway management. The ability of artificial intelligence and machine learning algorithms to recognize patterns from large volumes of complex data makes them attractive for use in pediatric anesthesia airway management. The purpose of this review is to introduce artificial intelligence, machine learning, and deep learning to the pediatric anesthesiologist. Current evidence and developments in artificial intelligence, machine learning, and deep learning relevant to pediatric airway management are presented. We critically assess the current evidence on the use of artificial intelligence and machine learning in the assessment, diagnosis, monitoring, procedure assistance, and predicting outcomes during pediatric airway management. Further, we discuss the limitations of these technologies and offer areas for focused research that may bring pediatric airway management anesthesiology into the era of artificial intelligence and machine learning.","Review, Airway Management / methods*, Artificial Intelligence*, Child, Humans, Intraoperative Complications / diagnosis*, Machine Learning, Postoperative Complications / diagnosis*, Respiration Disorders / diagnosis*",Review
Decision-making in anesthesiology: will artificial intelligence make intraoperative care safer?,https://pubmed.ncbi.nlm.nih.gov/37865848/,10.1097/ACO.0000000000001318," Pittsburgh, Pennsylvania.",2023,Curr Opin Anaesthesiol,"Purpose of review:
        
      
      This article explores the impact of recent applications of artificial intelligence on clinical anesthesiologists' decision-making.","Review, Anesthesia*, Anesthesiologists, Anesthesiology*, Artificial Intelligence, Humans, Intraoperative Care",Review
